City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
423,takoradi,4.8845,-1.7554,298.91,87,100,2.62,GH,1682639081
424,la seyne-sur-mer,43.0982,5.8847,287.33,71,71,2.88,FR,1682639082
425,san carlos de bariloche,-41.1456,-71.3082,286.01,76,75,4.63,AR,1682638790
426,cap malheureux,-19.9842,57.6142,297.3,77,87,1.79,MU,1682639083
427,praya,14.9215,-23.5087,295.45,78,20,8.75,CV,1682639083
428,bilma,18.6853,12.9164,302.82,12,11,5.17,NE,1682639084
429,auki,-8.7676,160.7034,303.3,63,39,1.23,SB,1682639085
430,monrovia,6.3005,-10.7969,299.02,79,21,3.36,LR,1682639085
431,kargasok,59.0556,80.8572,280.82,93,64,4.39,RU,1682639086
432,san ramon,37.7799,-121.978,306.64,32,0,5.66,US,1682639043
433,atambua,-9.1061,124.8925,298.42,83,87,1.3,ID,1682639087
434,fort saint james,54.4333,-124.25,283.6,54,100,3.01,CA,1682639087
435,olafsvik,64.8945,-23.7142,274.0,63,6,7.76,IS,1682639088
436,guerrero negro,27.9769,-114.0611,291.04,72,11,8.19,MX,1682639089
437,staritsa,56.5075,34.9354,282.83,97,96,1.38,RU,1682639089
438,zaysan,47.4667,84.8667,283.8,39,92,1.46,KZ,1682639090
439,beruwala,6.4788,79.9828,298.34,88,43,2.48,LK,1682639091
440,cerreto guidi,43.7607,10.8761,286.57,78,28,0.36,IT,1682639091
441,kibre mengist,5.8833,38.9833,287.05,98,99,0.81,ET,1682639092
442,iberia,29.9502,-91.7507,299.8,53,0,4.63,US,1682639092
443,hegang,47.4,130.3667,283.68,34,100,2.01,CN,1682639093
444,raga,8.4596,25.678,298.0,73,66,1.2,SS,1682639094
445,awjilah,29.1081,21.2869,291.59,37,1,5.1,LY,1682639094
446,gotha,50.9482,10.7019,280.45,75,0,0.51,DE,1682639095
447,kapoeta,4.7717,33.5903,296.66,82,99,1.85,SS,1682639096
448,lupiro,-8.3833,36.6667,294.35,80,93,1.05,TZ,1682639096
449,geraldton,-28.7667,114.6,284.38,82,0,4.12,AU,1682639097
450,caibarien,22.5206,-79.4669,303.77,77,81,7.91,CU,1682638906
451,iracoubo,5.4802,-53.2011,298.42,88,92,3.9,GF,1682639098
452,tombouctou,20.0,-3.0,302.49,11,0,5.91,ML,1682639099
453,bouca,6.5105,18.2733,294.64,86,87,1.73,CF,1682639100
454,yumen,40.2833,97.2,277.55,27,0,2.02,CN,1682639102
455,peace river,56.2501,-117.286,289.32,23,100,8.23,CA,1682639103
456,walvis bay,-22.9575,14.5053,288.2,69,1,4.65,NA,1682639104
457,mandera,3.9366,41.867,300.91,66,100,5.01,KE,1682639105
458,hobyo,5.3505,48.5268,301.92,76,98,5.69,SO,1682639105
459,palaikastron,35.2,26.25,288.12,71,3,12.92,GR,1682639106
460,nepa nagar,21.4667,76.4,298.74,57,56,1.7,IN,1682639107
461,alenquer,-1.9417,-54.7383,297.02,94,63,1.55,BR,1682639095
462,jian,27.1172,114.9793,293.57,90,89,1.35,CN,1682639108
463,paamiut,61.994,-49.6678,273.92,87,98,1.14,GL,1682639109
464,kavieng,-2.5744,150.7967,302.18,73,68,1.95,PG,1682639109
465,ixtapa,20.7,-105.2,299.94,73,0,5.66,MX,1682639110
466,ambon,-3.6954,128.1814,301.46,90,40,2.06,ID,1682639111
467,taoudenni,22.6783,-3.9836,304.37,8,1,6.27,ML,1682639111
468,karpathos,35.507,27.2132,289.13,72,16,11.83,GR,1682639112
469,jiuquan,39.7432,98.5174,277.29,28,0,2.06,CN,1682639113
470,novikovo,51.1537,37.8879,284.92,95,100,2.92,RU,1682639113
471,nadvoitsy,63.8667,34.3167,274.06,93,68,4.04,RU,1682639114
472,dombas,62.0696,9.1235,265.29,93,72,2.58,NO,1682639115
473,grafton,42.207,-71.6856,284.29,80,46,2.13,US,1682639115
